provincie,week,aantal,week_volgnr
Groningen,2020-01,0,1
Friesland,2020-01,0,1
Drenthe,2020-01,0,1
Overijssel,2020-01,1,1
Flevoland,2020-01,1,1
Gelderland,2020-01,1,1
Utrecht,2020-01,2,1
Noord-Holland,2020-01,6,1
Zuid-Holland,2020-01,8,1
Zeeland,2020-01,0,1
Noord-Brabant,2020-01,4,1
Limburg,2020-01,2,1
Groningen,2020-02,0,2
Friesland,2020-02,1,2
Drenthe,2020-02,1,2
Overijssel,2020-02,4,2
Flevoland,2020-02,3,2
Gelderland,2020-02,5,2
Utrecht,2020-02,6,2
Noord-Holland,2020-02,14,2
Zuid-Holland,2020-02,13,2
Zeeland,2020-02,4,2
Noord-Brabant,2020-02,11,2
Limburg,2020-02,9,2
Groningen,2020-03,2,3
Friesland,2020-03,3,3
Drenthe,2020-03,1,3
Overijssel,2020-03,7,3
Flevoland,2020-03,2,3
Gelderland,2020-03,7,3
Utrecht,2020-03,2,3
Noord-Holland,2020-03,15,3
Zuid-Holland,2020-03,11,3
Zeeland,2020-03,1,3
Noord-Brabant,2020-03,11,3
Limburg,2020-03,8,3
Groningen,2020-04,0,4
Friesland,2020-04,0,4
Drenthe,2020-04,1,4
Overijssel,2020-04,10,4
Flevoland,2020-04,4,4
Gelderland,2020-04,6,4
Utrecht,2020-04,3,4
Noord-Holland,2020-04,15,4
Zuid-Holland,2020-04,16,4
Zeeland,2020-04,0,4
Noord-Brabant,2020-04,10,4
Limburg,2020-04,7,4
Groningen,2020-05,1,5
Friesland,2020-05,1,5
Drenthe,2020-05,1,5
Overijssel,2020-05,4,5
Flevoland,2020-05,1,5
Gelderland,2020-05,6,5
Utrecht,2020-05,6,5
Noord-Holland,2020-05,18,5
Zuid-Holland,2020-05,13,5
Zeeland,2020-05,0,5
Noord-Brabant,2020-05,16,5
Limburg,2020-05,15,5
Groningen,2020-06,0,6
Friesland,2020-06,0,6
Drenthe,2020-06,2,6
Overijssel,2020-06,7,6
Flevoland,2020-06,1,6
Gelderland,2020-06,8,6
Utrecht,2020-06,4,6
Noord-Holland,2020-06,15,6
Zuid-Holland,2020-06,14,6
Zeeland,2020-06,2,6
Noord-Brabant,2020-06,11,6
Limburg,2020-06,2,6
Groningen,2020-07,3,7
Friesland,2020-07,6,7
Drenthe,2020-07,5,7
Overijssel,2020-07,5,7
Flevoland,2020-07,3,7
Gelderland,2020-07,13,7
Utrecht,2020-07,9,7
Noord-Holland,2020-07,15,7
Zuid-Holland,2020-07,13,7
Zeeland,2020-07,26,7
Noord-Brabant,2020-07,10,7
Limburg,2020-07,6,7
Groningen,2020-08,0,8
Friesland,2020-08,1,8
Drenthe,2020-08,1,8
Overijssel,2020-08,2,8
Flevoland,2020-08,4,8
Gelderland,2020-08,6,8
Utrecht,2020-08,6,8
Noord-Holland,2020-08,12,8
Zuid-Holland,2020-08,21,8
Zeeland,2020-08,1,8
Noord-Brabant,2020-08,14,8
Limburg,2020-08,5,8
Groningen,2020-09,5,9
Friesland,2020-09,1,9
Drenthe,2020-09,3,9
Overijssel,2020-09,7,9
Flevoland,2020-09,2,9
Gelderland,2020-09,13,9
Utrecht,2020-09,3,9
Noord-Holland,2020-09,4,9
Zuid-Holland,2020-09,18,9
Zeeland,2020-09,0,9
Noord-Brabant,2020-09,11,9
Limburg,2020-09,1,9
Groningen,2020-10,1,10
Friesland,2020-10,0,10
Drenthe,2020-10,4,10
Overijssel,2020-10,8,10
Flevoland,2020-10,0,10
Gelderland,2020-10,12,10
Utrecht,2020-10,16,10
Noord-Holland,2020-10,10,10
Zuid-Holland,2020-10,14,10
Zeeland,2020-10,1,10
Noord-Brabant,2020-10,9,10
Limburg,2020-10,5,10
Groningen,2020-11,3,11
Friesland,2020-11,3,11
Drenthe,2020-11,0,11
Overijssel,2020-11,5,11
Flevoland,2020-11,1,11
Gelderland,2020-11,9,11
Utrecht,2020-11,4,11
Noord-Holland,2020-11,17,11
Zuid-Holland,2020-11,16,11
Zeeland,2020-11,1,11
Noord-Brabant,2020-11,9,11
Limburg,2020-11,8,11
Groningen,2020-12,3,12
Friesland,2020-12,0,12
Drenthe,2020-12,2,12
Overijssel,2020-12,3,12
Flevoland,2020-12,5,12
Gelderland,2020-12,10,12
Utrecht,2020-12,3,12
Noord-Holland,2020-12,6,12
Zuid-Holland,2020-12,10,12
Zeeland,2020-12,2,12
Noord-Brabant,2020-12,18,12
Limburg,2020-12,4,12
Groningen,2020-13,0,13
Friesland,2020-13,2,13
Drenthe,2020-13,2,13
Overijssel,2020-13,7,13
Flevoland,2020-13,1,13
Gelderland,2020-13,7,13
Utrecht,2020-13,2,13
Noord-Holland,2020-13,8,13
Zuid-Holland,2020-13,11,13
Zeeland,2020-13,0,13
Noord-Brabant,2020-13,4,13
Limburg,2020-13,3,13
Groningen,2020-14,2,14
Friesland,2020-14,3,14
Drenthe,2020-14,0,14
Overijssel,2020-14,5,14
Flevoland,2020-14,2,14
Gelderland,2020-14,3,14
Utrecht,2020-14,3,14
Noord-Holland,2020-14,24,14
Zuid-Holland,2020-14,14,14
Zeeland,2020-14,2,14
Noord-Brabant,2020-14,11,14
Limburg,2020-14,5,14
