regio,jaar,weeknr,periode,mobiliteit,verandering
Nederland,2020,7,2020-07,Werken,-0.015
Nederland,2020,8,2020-08,Werken,-0.05285714285714285
Nederland,2020,9,2020-09,Werken,-0.11142857142857142
Nederland,2020,10,2020-10,Werken,0.015714285714285715
Nederland,2020,11,2020-11,Werken,-0.047142857142857146
Nederland,2020,12,2020-12,Werken,-0.39285714285714285
Nederland,2020,13,2020-13,Werken,-0.45714285714285713
Nederland,2020,14,2020-14,Werken,-0.4457142857142857
Nederland,2020,15,2020-15,Werken,-0.43714285714285717
Nederland,2020,16,2020-16,Werken,-0.45
Nederland,2020,17,2020-17,Werken,-0.38142857142857145
Nederland,2020,18,2020-18,Werken,-0.42
Nederland,2020,19,2020-19,Werken,-0.36142857142857143
Nederland,2020,20,2020-20,Werken,-0.28285714285714286
Nederland,2020,21,2020-21,Werken,-0.3557142857142857
Nederland,2020,22,2020-22,Werken,-0.22714285714285715
Nederland,2020,23,2020-23,Werken,-0.27285714285714285
Nederland,2020,24,2020-24,Werken,-0.19428571428571428
Nederland,2020,25,2020-25,Werken,-0.17285714285714285
Nederland,2020,26,2020-26,Werken,-0.2
Nederland,2020,27,2020-27,Werken,-0.20142857142857143
Nederland,2020,28,2020-28,Werken,-0.21428571428571427
Nederland,2020,29,2020-29,Werken,-0.24428571428571427
Nederland,2020,30,2020-30,Werken,-0.3
Nederland,2020,31,2020-31,Werken,-0.34285714285714286
Nederland,2020,32,2020-32,Werken,-0.36142857142857143
Nederland,2020,33,2020-33,Werken,-0.3357142857142857
Nederland,2020,34,2020-34,Werken,-0.27428571428571424
Nederland,2020,35,2020-35,Werken,-0.23428571428571426
Nederland,2020,36,2020-36,Werken,-0.21285714285714286
Nederland,2020,37,2020-37,Werken,-0.20428571428571426
Nederland,2020,38,2020-38,Werken,-0.17428571428571427
Nederland,2020,39,2020-39,Werken,-0.16714285714285715
Nederland,2020,40,2020-40,Werken,-0.18
Nederland,2020,41,2020-41,Werken,-0.19714285714285715
Nederland,2020,42,2020-42,Werken,-0.2557142857142857
Nederland,2020,43,2020-43,Werken,-0.2885714285714286
Nederland,2020,44,2020-44,Werken,-0.20857142857142857
Nederland,2020,45,2020-45,Werken,-0.2114285714285714
Nederland,2020,46,2020-46,Werken,-0.21285714285714286
Nederland,2020,47,2020-47,Werken,-0.19714285714285715
Nederland,2020,48,2020-48,Werken,-0.1814285714285714
Nederland,2020,49,2020-49,Werken,-0.17714285714285716
Nederland,2020,50,2020-50,Werken,-0.17857142857142858
Nederland,2020,51,2020-51,Werken,-0.27
Nederland,2020,52,2020-52,Werken,-0.5071428571428571
Nederland,2020,53,2020-53,Werken,-0.5228571428571428
Nederland,2021,1,2021-01,Werken,-0.3057142857142857
Nederland,2021,2,2021-02,Werken,-0.30428571428571427
Nederland,2021,3,2021-03,Werken,-0.30428571428571427
Nederland,2021,4,2021-04,Werken,-0.29285714285714287
Nederland,2021,5,2021-05,Werken,-0.3142857142857143
Nederland,2021,6,2021-06,Werken,-0.3285714285714285
Nederland,2021,7,2021-07,Werken,-0.28428571428571425
Nederland,2021,8,2021-08,Werken,-0.27571428571428575
Nederland,2021,9,2021-09,Werken,-0.22142857142857142
Nederland,2021,10,2021-10,Werken,-0.22142857142857142
Nederland,2021,11,2021-11,Werken,-0.20857142857142857
Nederland,2021,12,2021-12,Werken,-0.21
Nederland,2021,13,2021-13,Werken,-0.22285714285714284
Nederland,2021,14,2021-14,Werken,-0.28
Nederland,2021,15,2021-15,Werken,-0.19
Nederland,2021,16,2021-16,Werken,-0.18285714285714286
Nederland,2021,17,2021-17,Werken,-0.2985714285714286
Nederland,2021,18,2021-18,Werken,-0.2542857142857143
Nederland,2021,19,2021-19,Werken,-0.3142857142857143
Nederland,2021,20,2021-20,Werken,-0.16857142857142857
Nederland,2021,21,2021-21,Werken,-0.20142857142857143
Nederland,2021,22,2021-22,Werken,-0.12428571428571429
Nederland,2021,23,2021-23,Werken,-0.11571428571428571
Nederland,2021,24,2021-24,Werken,-0.12285714285714286
Nederland,2021,25,2021-25,Werken,-0.12571428571428572
Nederland,2021,26,2021-26,Werken,-0.13285714285714287
Nederland,2021,27,2021-27,Werken,-0.14857142857142858
Nederland,2021,28,2021-28,Werken,-0.19571428571428573
Nederland,2021,29,2021-29,Werken,-0.24714285714285716
Nederland,2021,30,2021-30,Werken,-0.30142857142857143
Nederland,2021,31,2021-31,Werken,-0.33142857142857146
Nederland,2021,32,2021-32,Werken,-0.33
Nederland,2021,33,2021-33,Werken,-0.3
Nederland,2021,34,2021-34,Werken,-0.23285714285714285
Nederland,2021,35,2021-35,Werken,-0.1814285714285714
Nederland,2021,36,2021-36,Werken,-0.16428571428571426
Nederland,2021,37,2021-37,Werken,-0.17428571428571427
Nederland,2021,38,2021-38,Werken,-0.14714285714285713
